final,org,project,amount,Ocena Organizacyjna,Średnia Ocena Merytoryczna,Ocena Strategiczna
0,Kwidzyńskie Towarzystwo Kulturalne,SMS Kwidzyn,0.00,,,nd
0,Polski Związek Głuchych Oddział Łódzki,25 wielkich artystów – multimedialny przewodnik najwybitniejszych artystów świata,0.00,,,nd
68.20,Regionalny Ośrodek Kultury w Częstochowe,Radioaktywni. Międzypokoleniowy projekt kształtowania kompetencji w zakresie nowych mediów i mediów masowych.,0.00,7.00,39.20,22
65.20,Wydawnictwo Foto Press Danuta Domańska,"""Senior TV"" -praktyczna edukacja medialna 50+",0.00,5.00,37.20,23
68.40,"Fundacja ""Miasto słów""",miastoMoje,0.00,5.00,47.40,16
0,Fundacja Cinemania,Trampkowy Klub Filmowy ,0.00,,,nd
72.80,Stowarzyszenie im. Stanisława Brzozowskiego ,Web Aktywni,60000.00,6.00,44.80,22
61.20,Stowarzyszenie Grupa Przedsięwzieć Teatralno-Medialnych,Cykl warsztatow edukacji medialnej wraz z spektaklem,0.00,5.00,33.20,23
79.00,Stowarzyszenie Młodych Dziennikarzy ''Polis'',Oswajanie z mediami krokiem ku wolności,48000.00,6.00,49.00,24
51.40,Ringier Axel Springer Polska Sp. z o.o.,Ogólnopolska Akademia Dziennikarstwa,0.00,6.00,24.40,21
0,Wojewódzki Ośrodek Kultury,Media z nami.,0.00,,,nd
56.60,Centrum Kultury w Lublinie,Elementarz Krainy Czarów,0.00,4.00,29.60,23
59.60,Centrum Edukacji i Inicjatyw Kulturalnych w Olsztynie,Bądź na czasie  - zdobądź kompetencje medialne i informacyjne,0.00,7.00,31.60,21
0,Szczecińskie Centrum Edukacyjne Spółka z o.o.,Instruktaż kształtowania kompetencji informacyjnych dla nauczycieli,0.00,,,nd
64.40,Centrum Kultury Katowice im. Krystyny Bochenek,Trzecia Fala - media i sztuka ,0.00,4.00,38.40,22
86.50,"Towarzystwo Inicjatyw Twórczych ""ę""",Warszawa.Lab,140000.00,7.00,54.50,25
64.40,Fundacja Projekt: Polska,Kampania Czwórka na szóstkę – obchody 25 rocznicy wyborów do Sejmu kontraktowego w ramach inicjatywy Razem’89,0.00,7.00,34.40,23
73.20,Stowarzyszenie na Rzecz Rozwoju i Pomocy Q Zmianom,Ja odbiorca - Ja twórca,25000.00,5.00,46.20,22
0,Fundacja Press Club,"Nagroda Fikusa - konkurs, debata, publikacja",0.00,,,nd
0,Fundacja Press Club,Portfolio Fotografii Polskiej cz. 2 - gromadzenie i udostępnianie,0.00,,,nd
54.00,Fundacja CreativeVision,Tworzymy radio! Budujemy świadomość!,0.00,5.00,36.00,13
57.60,Fundacja Miasto,Virtual Promotion - szkolenie z wykorzystania nowych mediów,0.00,5.00,31.60,21
77.80,Radio eR,Program edukacji medialnej „RADIO-aktywni. Odsłona 2.” ,40000.00,6.00,46.80,25
76.80,Miejska Biblioteka Publiczna im. Stanisława Grochowiaka  w Lesznie,Cyfrowy wnuk,30000.00,7.00,41.80,28
66.00,Centrum Edukacji i Inicjatyw Kulturalnych w Olsztynie,"Bądź na czasie  - cykl filmów edukacyjnych
",0.00,5.00,37.00,24
60.00,"Stowarzyszenie na Rzecz Rozwoju Edukacji ""Drogowskazy""",Siła dialogu! Program rozwoju kompetencji medialnych sektora NGO,0.00,6.00,35.00,19
76.50,"Fundacja ""5Medium""",Bezpieczna e-szkoła 2014,35000.00,6.00,51.50,19
0,POMERANUS Fundacja promocji dziedzictwa i tożsamości Pomorza,Opracowanie i wydanie edukacyjnych publikacji mobilnych na tablety i smartfony dotyczących Pomorza dla placówek kultury.,0.00,,,nd
68.80,Gminny Ośrodek Kultury w Pomiechówku,"Senior na fejsie – warsztaty komputerowe, językowe i umiejętności miękkich dla rozwijania twórczości seniorów",0.00,7.00,31.80,30
51.60,Fundacja Stabilo,Rozwój serwisu Kulturalny Toruń poprzez edukację wolontariuszy w zakresie kompetencji medialnych i informacyjnych.,0.00,7.00,29.60,15
64.40,FUNDACJA DOBREGO ODBIORU,Stworzenie zawartości na portal Civilia.pl,0.00,5.00,42.40,17
53.40,Helios Fundacja Wspierania Edukacji i Rozwoju Osobistego,"Learning-media-kultura. 
E-informacja medialna źródłem wiedzy o kulturze.",0.00,5.00,30.40,18
67.00,Miejska Biblioteka Publiczna im. Hugona Kołłątaja w Dąbrowie Górniczej,Dziennikarze na start ,0.00,7.00,40.00,20
67.60,Stowarzyszenie Pogranicza,Beskidzki Kocioł,0.00,6.00,39.60,22
57.60,"""De Primario""",Ugryź Media,0.00,6.00,33.60,18
67.80,Toruńska Agenda Kulturalna,osobisty.torun.pl - cykl warsztatów medialnych,0.00,5.00,39.80,23
79.00,Biblioteka Śląska w Katowicach,CYFROWE KORZENIE,30000.00,7.00,45.00,27
71.00,Fundacja Nowe Media,"III edycja - Olimpiada Medialna 2014 
",0.00,9.00,42.00,20
72.40,Stowarzyszenie Dziennikarzy i Dokumentalistów Koncentrat,Drodzy czytelnicy,40000.00,6.00,46.40,20
63.60,Fundacja Archipelag Mazurski,Chcemy poznać te ICT.,0.00,5.00,38.60,20
81.00,Instytucja Kultury Katowice - Miasto Ogrodów,Medialab Katowice,70000.00,9.00,55.00,17
72.60,"Ośrodek Kultury ""Wzgórze Zamkowe""",Międzypokoleniowa gra miejska „Mediacje” ,25000.00,7.00,40.60,25
67.00,Fundacja Szczęśliwe Dzieciństwo,Młodzieżowa Telewizja Kulturalno-Społeczna,0.00,5.00,39.00,23
61.00,Akademia Młodego Artysty,Telewizja młodzieżowa w Zakopanem,0.00,5.00,38.00,18
70.40,Śląskie Towarzystwo Marketingowe,iNauczyciel - edukacja medialna i informacyjna jako narzędzie rozwoju zawodowego i osobistego nauczycieli.,0.00,5.00,42.40,23
46.20,Echidna Computers Sp. z o.o.,"Przygotowanie oraz wdrożenie e-usługi do komunikacji dzieci-rodzice-nauczyciele o nazwie ""ECHIDNA"".",0.00,6.00,30.20,10
70.20,Warsztat Innowacji Społecznych,MEDIA LAB 2014: Nowe Media - Nowi Obywatele,0.00,6.00,45.20,19
0,Stowarzyszenie Jarocin XXI ,CYBORG - eksploracja przestrzeni nowych mediów i technologii. ,0.00,,,nd
71.60,Fundacja Dom Kultury,Młodzieżowe portale internetowe,0.00,6.00,45.60,20
71.00,Stowarzyszenie Społeczno-Kulturalne Ethnos," ""Romskie media. Cyfrowe archiwum pamięci""",0.00,6.00,45.00,20
54.20,Fundacja Win-Win,kompetencJA,0.00,4.00,30.20,20
68.40,Fundacja na rzecz poprawy jakości życia Od-Nowa,W stronę internetowej społeczności seniorów z Warmii i Mazur,0.00,4.00,39.40,25
0,Fundacja Pro Senior,Przewodnik multimedialny po Radomiu,0.00,,,nd
58.40,Gminny Ośrodek Kultury z siedzibą w Długołęce,Młodzieżowy Klub Dziennikarzy Obywatelskich w Długołęce,0.00,4.00,33.40,21
68.20,"Europejskie Stowarzyszenie Edukacji i Rozwoju ""PIONIER""",Medialny zawrót głowy,0.00,4.00,41.20,23
69.00,Filharmonia im. Mieczysława Karłowicza w Szczecinie,Dźwięk na warsztacie - multimedialne zajęcia w fonotece szczecińskiej  Filharmonii,0.00,5.00,43.00,21
77.20,"Fundacja ""5Medium""",Akademia Cyfrowych Kompetencji,40000.00,5.00,50.20,22
66.60,Fundacja Media 3.0,Media Lab - Kreator Medialny,0.00,6.00,40.60,20
58.60,STOWARZYSZENIE HARCERSKIE IM. ANDRZEJA MAŁKOWSKIEGO,"Cykl otwartych warsztatów „50 odcieni szarości w nowoczesnych mediach, czyli jak odróżnić prawdę od manipulacji”.",0.00,4.00,31.60,23
72.80,Związek Harcerstwa Polskiego Chorągiew Białostocka,"""Lilijka w mediach"" - warsztaty kształcenia kadry wychowawczej",25000.00,7.00,42.80,23
